rank,ticker,name,industry,mcap_M,price,rev_yoy_%,rev_qoq_%,rev_yoy_q_%,cagr3_%,op_margin_%,net_margin_%,ocf_M,pe,pb,score,latest_q
61,4506,崇友,Specialty Industrial Machinery,20710,117.5,9.7,-23.5,-20.3,6.9,21.7,19.2,1540,18.2,3.59,43.9,2025-12-31
62,3078,僑威,Electrical Equipment & Parts,12893,57.2,16.2,-24.7,-38.8,-4.1,16.9,13.8,1883,9.5,1.78,43.6,2025-12-31
63,8081,致新,Semiconductors,22022,253.5,5.0,-7.7,-5.3,4.7,19.4,17.6,1283,14.3,2.67,43.5,2025-12-31
64,5457,宣德,Electronic Components,7269,36.4,7.4,-12.2,16.6,20.6,5.8,2.0,2537,13.1,1.24,43.3,2025-12-31
65,8091,翔名,Semiconductors,10869,200.0,6.8,-0.1,18.1,8.8,18.3,14.3,482,32.4,2.76,43.2,2025-12-31
66,8131,福懋科,Semiconductors,30425,65.9,11.1,40.6,37.1,13.9,7.2,6.1,427,33.3,2.31,43.1,2025-12-31
67,3265,台星科,Semiconductor Equipment & Materials,25140,180.5,11.5,6.8,13.7,12.6,19.7,16.1,1365,31.4,4.04,42.9,2025-12-31
68,3332,幸康,Electronic Components,3146,66.0,19.4,-13.2,-9.4,6.9,10.2,10.7,222,18.5,1.71,42.7,2025-12-31
69,3628,盈正,Electrical Equipment & Parts,3033,67.4,11.0,-14.7,21.8,7.1,7.6,5.4,390,16.2,1.94,42.7,2025-12-31
70,2327,國巨,Electronic Components,817316,389.0,9.3,8.7,15.6,11.1,22.4,17.8,30863,33.9,4.68,42.6,2025-12-31
71,1616,億泰,Electrical Equipment & Parts,4273,22.1,13.4,-24.0,-4.0,12.5,11.0,5.6,245,14.3,1.89,42.2,2025-12-31
72,8016,矽創,Semiconductors,32002,273.0,6.6,14.2,15.0,6.6,11.1,9.2,3105,18.5,2.64,42.2,2025-12-31
73,3484,崧騰,Electrical Equipment & Parts,3472,43.8,6.4,-3.3,-0.6,16.5,9.0,7.2,333,10.5,1.08,41.4,2025-12-31
74,3605,宏致,Electronic Components,13403,83.3,11.1,-2.9,5.0,13.1,5.7,6.1,1210,24.1,1.71,40.9,2025-12-31
75,5434,崇越,Electronics & Computer Distribution,82809,423.0,18.6,1.8,8.7,17.1,6.6,6.2,5144,17.9,4.26,40.9,2025-12-31
76,3264,欣銓,Semiconductors,105921,225.5,7.1,11.0,20.4,-0.1,25.4,20.2,5716,34.7,5.24,40.8,2025-12-31
77,5474,聰泰,Electronic Components,6560,164.5,22.9,-34.9,7.4,11.5,15.0,14.9,88,32.8,3.49,40.1,2025-12-31
78,3530,晶相光,Semiconductors,5175,65.2,6.6,25.3,48.2,5.3,7.4,7.3,464,32.1,2.03,40.1,2025-12-31
79,2478,大毅,Electronic Components,11190,78.1,7.8,-3.4,0.2,8.6,11.5,9.1,934,21.1,1.53,39.6,2025-12-31
80,3694,海華,Communication Equipment,8831,60.0,23.4,-24.8,6.9,9.4,5.0,5.4,801,15.1,2.53,38.8,2025-12-31
81,5410,國眾,Computer Hardware,3360,37.0,12.6,-34.2,-34.0,12.6,5.0,4.9,352,15.6,2.17,38.8,2025-12-31
82,2379,瑞昱,Semiconductors,303637,592.0,8.2,-10.9,-25.0,13.5,11.7,12.0,23015,20.7,5.85,38.6,2025-12-31
83,4942,嘉彰,Electronic Components,5431,38.0,7.5,11.1,18.4,0.1,9.3,7.2,248,12.4,0.60,37.8,2025-12-31
84,2472,立隆電,Electronic Components,36654,221.5,7.7,3.0,7.1,12.0,20.1,12.7,2203,25.4,4.01,37.2,2025-12-31
85,2480,敦陽科,Computer Hardware,15794,148.0,11.4,0.4,-2.0,7.4,11.9,10.1,550,17.6,5.27,37.0,2025-12-31
86,2402,毅嘉,Electronic Components,21005,68.0,13.8,-2.7,8.3,12.6,8.6,7.0,903,27.8,2.82,36.9,2025-12-31
87,3169,亞信,Semiconductors,7352,116.5,9.0,-5.7,-1.1,2.3,27.7,24.9,295,32.0,3.72,36.9,2025-12-31
88,3046,建碁,Computer Hardware,4071,50.6,8.2,-1.8,8.7,15.1,4.7,4.2,468,12.6,2.38,36.9,2025-12-31
89,2436,偉詮電,Semiconductors,14704,72.0,15.3,0.7,16.3,11.2,6.7,15.4,168,25.7,3.43,36.8,2025-12-31
90,3479,安勤,Computer Hardware,7038,97.1,11.5,-9.3,9.6,1.5,8.6,5.5,575,14.9,2.07,36.8,2025-12-31
91,2375,凱美,Electronic Components,9933,90.4,5.3,-6.6,3.5,7.4,8.8,7.3,776,24.2,1.00,36.7,2025-12-31
92,6275,元山,Consumer Electronics,4046,50.4,10.8,4.7,10.2,8.5,4.3,5.2,427,18.9,2.46,36.6,2025-12-31
93,2439,美律,Consumer Electronics,21499,86.2,6.0,37.4,14.8,12.6,3.2,2.9,1118,17.5,1.29,36.4,2025-12-31
94,3577,泓格,Communication Equipment,6026,92.1,9.4,3.9,16.7,7.3,15.8,12.9,206,29.1,3.86,35.2,2025-12-31
95,2329,華泰,Semiconductors,39604,59.7,20.9,-2.1,24.9,8.6,7.7,7.2,1678,27.0,3.44,35.1,2025-12-31
96,8103,瀚荃,Electronic Components,7667,116.0,5.2,4.8,7.6,6.5,13.6,10.1,646,26.3,2.34,35.0,2025-12-31
97,2301,光寶科,Computer Hardware,508429,204.0,21.1,9.7,15.8,5.8,10.1,9.1,14533,30.0,5.25,33.7,2025-12-31
98,2344,華邦電,Semiconductors,528750,107.0,9.6,26.7,42.4,9.2,6.3,4.4,11183,31.8,4.13,33.6,2025-12-31
99,3596,智易,Communication Equipment,39664,178.0,8.2,-3.4,7.6,1.8,6.6,5.2,3735,14.1,2.49,32.8,2025-12-31
100,3042,晶技,Electronic Components,52019,154.0,5.3,-4.8,5.0,10.9,15.2,13.5,3413,29.0,3.29,32.8,2025-12-31
101,1503,士電,Electrical Equipment & Parts,107581,202.5,6.0,16.1,-5.9,8.1,11.6,8.8,4096,32.3,2.91,32.3,2025-12-31
102,1504,東元,Specialty Industrial Machinery,170220,72.8,7.0,5.5,12.6,-0.3,9.0,8.9,2832,32.5,1.86,30.1,2025-12-31
103,2397,友通,Computer Hardware,6766,59.2,14.6,-10.2,-12.8,8.8,6.1,2.6,712,25.5,2.10,29.7,2025-12-31
104,3317,尼克森,Semiconductors,5805,68.2,9.6,0.4,9.7,4.8,12.0,5.5,353,33.8,1.73,29.2,2025-12-31
105,3059,華晶科,Scientific & Technical Instruments,12347,39.4,20.6,-2.6,7.7,-2.3,5.5,4.3,840,32.0,1.21,29.0,2025-12-31
